id,date,direction,departure,arrivale,cost,comfort,mode_id
142.0,2015-11-05 00:00:00,Work-bound,8:48,9:18,7.0,2.0,5.0
143.0,2015-11-09 00:00:00,Work-bound,8:26,9:02,2.25,4.0,6.0
144.0,2015-11-10 00:00:00,Work-bound,7:53,8:14,7.0,5.0,9.0
145.0,2015-11-11 00:00:00,Work-bound,8:23,8:44,12.12,5.0,9.0
146.0,2015-11-13 00:00:00,Work-bound,8:37,9:10,7.0,5.0,9.0
147.0,2015-11-16 00:00:00,Work-bound,8:16,8:36,7.0,5.0,10.0
148.0,2015-11-16 00:00:00,Home-bound,6:05,6:22,11.71,5.0,4.0
149.0,2015-11-17 00:00:00,Work-bound,8:09,8:55,2.25,4.0,6.0
150.0,2015-11-19 00:00:00,Work-bound,9:10,9:35,7.0,5.0,5.0
151.0,2015-11-19 00:00:00,Home-bound,6:13,6:46,7.0,5.0,9.0
152.0,2015-11-20 00:00:00,Work-bound,8:34,8:57,7.0,5.0,5.0
153.0,2015-11-20 00:00:00,Home-bound,5:22,5:55,2.25,3.0,6.0
154.0,2015-11-23 00:00:00,Work-bound,8:19,8:43,14.0,3.0,8.0
155.0,2015-11-30 00:00:00,Work-bound,8:41,9:06,4.0,4.0,7.0
156.0,2015-12-01 00:00:00,Work-bound,8:14,8:32,21.78,4.0,11.0
157.0,2015-12-01 00:00:00,Home-bound,7:09,7:25,3.82,3.0,11.0
158.0,2015-12-02 00:00:00,Work-bound,9:09,9:29,7.0,3.0,5.0
159.0,2015-12-03 00:00:00,Work-bound,8:17,8:38,4.75,5.0,9.0
160.0,2015-12-07 00:00:00,Work-bound,8:40,9:01,8.61,4.0,9.0
161.0,2015-12-08 00:00:00,Work-bound,9:16,9:43,4.75,4.0,9.0
162.0,2015-12-09 00:00:00,Work-bound,8:18,9:01,10.0,3.0,7.0
163.0,2015-12-10 00:00:00,Work-bound,8:45,9:16,7.0,4.0,5.0
164.0,2015-12-11 00:00:00,Work-bound,8:45,9:19,6.92,4.0,9.0
165.0,2015-12-14 00:00:00,Work-bound,8:18,8:53,2.25,4.0,6.0
166.0,2015-12-14 00:00:00,Work-bound,5:40,6:11,4.0,2.0,7.0
167.0,2015-12-15 00:00:00,Work-bound,8:41,9:14,2.25,3.0,6.0
168.0,2015-12-16 00:00:00,Work-bound,8:17,8:51,4.0,2.0,7.0
169.0,2015-12-17 00:00:00,Work-bound,9:10,9:34,12.05,3.0,8.0
170.0,2015-12-21 00:00:00,Work-bound,8:45,9:01,19.64,5.0,11.0
171.0,2015-12-22 00:00:00,Work-bound,8:22,8:37,11.42,4.0,4.0
172.0,2016-01-04 00:00:00,Work-bound,7:48,8:12,4.75,5.0,9.0
173.0,2016-01-05 00:00:00,Work-bound,10:23,10:38,10.96,5.0,4.0
174.0,2016-01-06 00:00:00,Work-bound,7:41,8:33,2.25,3.0,6.0
175.0,2016-01-07 00:00:00,Work-bound,8:10,8:38,4.75,4.0,9.0
176.0,2016-01-11 00:00:00,Work-bound,8:37,9:01,5.43,4.0,9.0
177.0,2016-01-13 00:00:00,Work-bound,6:58,7:38,2.25,3.0,6.0
